               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.099621,             0.11047,            0.024353,              0.4299,             0.33559,             0.32846,             0.17218,            0.096256,             0.11103,            0.030179,           0.0085805,           0.0085805,           0.0085805
                  80,            0.099535,             0.11117,            0.024254,             0.43939,              0.3291,             0.32856,             0.17295,            0.096234,             0.11118,            0.030142,           0.0085459,           0.0085459,           0.0085459
                  81,            0.099662,             0.11148,            0.024227,             0.45973,             0.32338,             0.32907,             0.17428,            0.096181,             0.11113,            0.030213,           0.0085111,           0.0085111,           0.0085111
                  82,            0.099942,             0.11262,            0.024037,             0.44146,             0.33606,             0.32983,              0.1741,            0.096158,             0.11125,            0.030208,           0.0084759,           0.0084759,           0.0084759
                  83,            0.099731,             0.11127,            0.024086,             0.47699,             0.32046,             0.33293,             0.17507,            0.096127,             0.11107,            0.030184,           0.0084404,           0.0084404,           0.0084404
                  84,            0.099657,             0.10991,            0.024037,             0.45177,             0.33286,             0.33383,             0.17571,             0.09614,              0.1113,            0.030183,           0.0084046,           0.0084046,           0.0084046
                  85,            0.099718,             0.11317,            0.023991,             0.44176,             0.33282,             0.33176,              0.1753,            0.096091,             0.11122,            0.030187,           0.0083684,           0.0083684,           0.0083684
                  86,            0.099515,             0.11183,            0.023852,              0.4327,             0.34082,             0.33219,              0.1752,            0.096106,             0.11111,            0.030169,           0.0083319,           0.0083319,           0.0083319
                  87,            0.099589,             0.11248,            0.023935,             0.43957,             0.33533,             0.33127,             0.17588,            0.096094,              0.1111,            0.030144,           0.0082952,           0.0082952,           0.0082952
                  88,            0.099177,             0.10988,            0.023975,             0.44772,             0.33199,              0.3315,             0.17617,            0.096056,             0.11128,            0.030169,           0.0082581,           0.0082581,           0.0082581
                  89,            0.099174,             0.11153,            0.024034,              0.4383,             0.33922,             0.33449,             0.17764,            0.096012,             0.11113,            0.030123,           0.0082207,           0.0082207,           0.0082207
                  90,            0.099443,             0.11052,            0.023959,             0.48433,             0.31835,             0.33433,              0.1778,            0.095987,             0.11114,             0.03007,            0.008183,            0.008183,            0.008183
                  91,              0.0991,             0.11111,            0.023875,              0.4768,             0.32736,             0.33754,               0.179,            0.095995,              0.1111,            0.030087,            0.008145,            0.008145,            0.008145
                  92,            0.099487,             0.10987,             0.02373,             0.45794,             0.33238,             0.33453,             0.17807,            0.096003,             0.11128,            0.030149,           0.0081068,           0.0081068,           0.0081068
                  93,             0.09904,             0.11102,            0.023632,             0.44401,             0.34137,             0.33415,              0.1776,            0.095951,             0.11114,            0.030186,           0.0080682,           0.0080682,           0.0080682
                  94,            0.099711,             0.11232,            0.023743,             0.47935,              0.3248,             0.33707,             0.17928,            0.095912,              0.1111,             0.03007,           0.0080294,           0.0080294,           0.0080294
                  95,            0.099249,             0.11084,            0.023721,             0.44914,             0.33937,             0.33675,             0.17836,            0.095882,             0.11113,            0.030026,           0.0079903,           0.0079903,           0.0079903
                  96,            0.099277,             0.11062,             0.02376,             0.46589,             0.33031,              0.3366,              0.1783,            0.095881,             0.11113,            0.030055,           0.0079509,           0.0079509,           0.0079509
                  97,             0.09928,             0.11067,            0.023697,             0.48038,              0.3254,             0.33705,             0.17836,             0.09585,             0.11118,            0.030037,           0.0079112,           0.0079112,           0.0079112
                  98,            0.099216,             0.11176,            0.023551,             0.43018,             0.35045,             0.33787,             0.17932,            0.095832,             0.11111,                0.03,           0.0078713,           0.0078713,           0.0078713
                  99,            0.099527,             0.11089,            0.023479,             0.42891,             0.35477,             0.33828,             0.18003,            0.095851,             0.11114,            0.029971,           0.0078311,           0.0078311,           0.0078311
                 100,             0.09936,             0.11098,            0.023488,             0.44868,             0.34333,             0.33957,             0.18044,            0.095836,             0.11108,            0.029988,           0.0077907,           0.0077907,           0.0077907
                 101,            0.099079,             0.11006,             0.02367,             0.44885,             0.34348,             0.33819,             0.17958,            0.095831,             0.11107,            0.029989,             0.00775,             0.00775,             0.00775
                 102,            0.098923,             0.11055,            0.023414,              0.4695,             0.33825,             0.33929,             0.18043,            0.095803,             0.11098,            0.030014,           0.0077091,           0.0077091,           0.0077091
                 103,            0.099231,             0.11073,            0.023328,              0.4532,             0.34296,             0.34012,             0.18121,            0.095768,             0.11101,            0.029969,           0.0076679,           0.0076679,           0.0076679
                 104,              0.0992,             0.11204,            0.023299,              0.4522,             0.34381,             0.34068,             0.18151,            0.095746,             0.11107,            0.029938,           0.0076265,           0.0076265,           0.0076265
                 105,            0.098572,             0.11042,            0.023402,             0.45747,             0.34092,             0.34095,             0.18151,            0.095751,             0.11108,             0.02996,           0.0075848,           0.0075848,           0.0075848
                 106,            0.099022,             0.10988,            0.023208,             0.43765,             0.35265,             0.34064,              0.1818,            0.095759,             0.11111,            0.029975,            0.007543,            0.007543,            0.007543
                 107,            0.098594,             0.10992,            0.023209,             0.43704,             0.35211,             0.34135,              0.1823,            0.095752,             0.11115,            0.029991,           0.0075009,           0.0075009,           0.0075009
                 108,            0.099013,             0.10985,            0.023199,             0.46256,             0.33825,             0.34097,              0.1822,            0.095739,              0.1112,            0.029995,           0.0074585,           0.0074585,           0.0074585
                 109,            0.099235,             0.11134,            0.023241,              0.4626,             0.34168,             0.34152,             0.18201,            0.095751,             0.11125,            0.029987,            0.007416,            0.007416,            0.007416
                 110,            0.099155,             0.11048,            0.023287,             0.44306,             0.35158,             0.34175,             0.18237,            0.095753,             0.11134,            0.029983,           0.0073733,           0.0073733,           0.0073733
                 111,            0.098843,             0.11021,            0.023132,              0.4316,             0.35956,             0.34151,             0.18221,            0.095767,             0.11134,            0.030005,           0.0073303,           0.0073303,           0.0073303
                 112,            0.098573,             0.10953,            0.023174,             0.45209,             0.34531,             0.34165,             0.18301,            0.095756,             0.11136,            0.030021,           0.0072872,           0.0072872,           0.0072872
                 113,            0.098871,             0.11002,            0.023191,             0.48359,             0.32878,             0.34141,             0.18266,            0.095736,             0.11135,            0.030026,           0.0072438,           0.0072438,           0.0072438
                 114,            0.098581,             0.10923,            0.023133,             0.47223,              0.3338,             0.34172,             0.18268,            0.095721,             0.11138,            0.030024,           0.0072003,           0.0072003,           0.0072003
                 115,            0.098992,             0.11076,            0.023059,             0.43774,             0.35149,             0.34072,             0.18209,             0.09572,             0.11133,            0.030058,           0.0071566,           0.0071566,           0.0071566
                 116,            0.098503,             0.10967,            0.023006,             0.50291,              0.3208,             0.34104,             0.18258,            0.095721,             0.11131,            0.030043,           0.0071127,           0.0071127,           0.0071127
                 117,            0.098491,             0.11024,            0.023178,             0.47824,             0.33125,             0.34129,             0.18261,             0.09571,             0.11134,            0.030039,           0.0070686,           0.0070686,           0.0070686
                 118,            0.098628,             0.10935,            0.023065,             0.47609,             0.33204,             0.34096,             0.18288,            0.095719,             0.11134,            0.030033,           0.0070243,           0.0070243,           0.0070243
