               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,             0.10369,             0.11734,            0.026874,             0.39164,             0.27966,             0.27182,             0.13559,            0.098755,             0.11186,            0.031932,           0.0080294,           0.0080294,           0.0080294
                  95,             0.10344,             0.11553,            0.027236,             0.37011,             0.29262,              0.2711,              0.1359,            0.098743,               0.112,            0.031901,           0.0079903,           0.0079903,           0.0079903
                  96,              0.1041,             0.11658,             0.02737,             0.37229,              0.2932,             0.27308,             0.13803,            0.098725,             0.11196,            0.031886,           0.0079509,           0.0079509,           0.0079509
                  97,             0.10384,             0.11634,            0.027336,             0.37929,             0.29012,             0.27484,             0.13859,            0.098717,             0.11191,            0.031869,           0.0079112,           0.0079112,           0.0079112
                  98,             0.10358,             0.11637,            0.027084,             0.39803,             0.28306,             0.27442,             0.13782,            0.098685,             0.11195,            0.031862,           0.0078713,           0.0078713,           0.0078713
                  99,             0.10363,             0.11655,            0.027049,             0.39827,             0.28329,             0.27554,             0.13765,            0.098657,             0.11196,            0.031848,           0.0078311,           0.0078311,           0.0078311
                 100,             0.10386,             0.11644,            0.026924,             0.41675,             0.27652,             0.27511,              0.1378,            0.098651,             0.11189,            0.031791,           0.0077907,           0.0077907,           0.0077907
                 101,              0.1034,              0.1149,            0.027011,             0.39562,             0.28559,             0.27439,             0.13716,            0.098638,             0.11194,            0.031794,             0.00775,             0.00775,             0.00775
                 102,             0.10329,             0.11538,             0.02718,             0.39348,              0.2866,             0.27419,             0.13723,            0.098635,             0.11191,            0.031774,           0.0077091,           0.0077091,           0.0077091
                 103,             0.10312,             0.11416,            0.026772,              0.3779,             0.29436,             0.27554,             0.13846,            0.098614,             0.11192,            0.031731,           0.0076679,           0.0076679,           0.0076679
                 104,             0.10361,             0.11546,            0.026955,              0.3606,             0.30517,             0.27659,             0.13891,            0.098601,             0.11188,            0.031692,           0.0076265,           0.0076265,           0.0076265
                 105,             0.10315,             0.11532,            0.026938,             0.36176,             0.30553,               0.277,              0.1392,            0.098578,             0.11191,            0.031678,           0.0075848,           0.0075848,           0.0075848
                 106,             0.10331,             0.11571,            0.026998,             0.39437,             0.28689,             0.27699,             0.13886,            0.098574,             0.11189,            0.031653,            0.007543,            0.007543,            0.007543
                 107,             0.10352,             0.11626,            0.026976,             0.38379,             0.29079,             0.27785,             0.14008,            0.098545,              0.1118,             0.03165,           0.0075009,           0.0075009,           0.0075009
                 108,             0.10314,             0.11564,            0.026861,             0.37634,             0.29571,             0.27721,             0.13999,            0.098528,             0.11183,            0.031641,           0.0074585,           0.0074585,           0.0074585
                 109,             0.10339,             0.11625,            0.026915,             0.37329,             0.29652,              0.2774,             0.14038,            0.098528,             0.11183,             0.03165,            0.007416,            0.007416,            0.007416
                 110,             0.10363,             0.11548,            0.026794,             0.40689,             0.28131,              0.2779,             0.14067,            0.098504,             0.11182,            0.031663,           0.0073733,           0.0073733,           0.0073733
                 111,             0.10384,             0.11704,            0.027032,             0.39206,             0.28817,             0.27838,             0.14054,            0.098487,              0.1118,            0.031662,           0.0073303,           0.0073303,           0.0073303
                 112,             0.10323,             0.11541,            0.026997,             0.37946,             0.29715,             0.27865,             0.14133,            0.098487,             0.11185,             0.03164,           0.0072872,           0.0072872,           0.0072872
                 113,              0.1034,             0.11646,             0.02685,             0.36345,               0.305,             0.27918,             0.14179,            0.098469,             0.11191,            0.031626,           0.0072438,           0.0072438,           0.0072438
                 114,             0.10344,             0.11622,            0.026881,             0.37699,             0.29441,             0.27812,             0.14121,            0.098462,             0.11182,            0.031641,           0.0072003,           0.0072003,           0.0072003
                 115,             0.10304,             0.11591,            0.026714,             0.38408,              0.2897,             0.27818,             0.14156,             0.09846,             0.11182,             0.03163,           0.0071566,           0.0071566,           0.0071566
                 116,             0.10316,             0.11608,            0.026719,             0.39352,             0.28651,             0.27878,             0.14171,            0.098455,             0.11184,            0.031619,           0.0071127,           0.0071127,           0.0071127
                 117,             0.10287,             0.11528,            0.026647,             0.38071,             0.29397,             0.27895,             0.14183,            0.098446,             0.11187,            0.031614,           0.0070686,           0.0070686,           0.0070686
                 118,             0.10336,             0.11647,             0.02675,             0.39806,             0.28533,             0.27854,             0.14179,            0.098439,             0.11182,            0.031606,           0.0070243,           0.0070243,           0.0070243
                 119,             0.10328,             0.11563,            0.026674,             0.37456,             0.29733,             0.27906,             0.14171,            0.098432,             0.11183,            0.031596,           0.0069799,           0.0069799,           0.0069799
                 120,             0.10309,             0.11568,            0.026729,              0.3774,             0.29526,             0.27921,             0.14205,             0.09842,             0.11176,            0.031579,           0.0069353,           0.0069353,           0.0069353
                 121,             0.10299,             0.11562,            0.026699,             0.35857,             0.30604,             0.27954,             0.14225,            0.098409,             0.11179,            0.031579,           0.0068906,           0.0068906,           0.0068906
                 122,             0.10301,             0.11468,            0.026471,             0.36896,             0.29895,             0.28004,              0.1425,            0.098395,             0.11185,            0.031593,           0.0068457,           0.0068457,           0.0068457
                 123,             0.10259,             0.11561,            0.026605,             0.36379,             0.30172,             0.28029,             0.14275,            0.098389,             0.11182,            0.031597,           0.0068006,           0.0068006,           0.0068006
